timestamp,event_type,ear,perclos,fatigue_score,blink_count,yawn_count
2026-03-23T16:24:23.049264,warning,0.2744830746317154,0.9971,45.3,48,0
2026-03-23T16:24:23.338037,warning,0.2745249470318826,0.9971,42.1,48,0
2026-03-23T16:24:23.591090,warning,0.2538236764604689,0.9971,42.5,48,0
2026-03-23T16:24:23.824189,warning,0.27542823676316697,0.9971,43.3,48,0
2026-03-23T16:24:24.051650,warning,0.29475880758387685,0.9971,43.9,48,0
2026-03-23T16:24:24.304903,warning,0.27350870291499524,0.9971,44.1,48,0
2026-03-23T16:24:24.557319,warning,0.27637833224709146,0.9971,44.4,48,0
2026-03-23T16:24:24.803793,warning,0.2625925137954842,0.9971,44.4,48,0
2026-03-23T16:24:25.010689,warning,0.25135911052865356,0.9971,43.2,48,0
2026-03-23T16:24:25.231565,warning,0.2661402409095246,0.9971,43.8,48,0
2026-03-23T16:24:25.461311,warning,0.21231039150024578,0.9971,51.2,48,0
2026-03-23T16:24:25.673386,warning,0.2320244639272835,0.9971,45.5,48,0
2026-03-23T16:24:25.842039,warning,0.2567248795827956,0.9971,44.7,49,0
2026-03-23T16:24:26.018218,warning,0.268039346974899,0.9971,44.6,49,0
2026-03-23T16:24:26.182126,warning,0.24295569696560734,0.9971,44.1,49,0
2026-03-23T16:24:26.339664,warning,0.1926070774385163,0.9971,55.8,49,0
2026-03-23T16:24:26.499256,warning,0.15195897560399105,0.9972,64.5,49,0
2026-03-23T16:24:26.644928,warning,0.19749754550814885,0.9972,53.6,49,0
2026-03-23T16:24:26.801196,warning,0.16174103980163815,0.9972,61.3,49,0
2026-03-23T16:24:26.964295,warning,0.18108480875481198,0.9972,57.6,49,0
2026-03-23T16:24:27.120240,warning,0.13575525347611594,0.9972,67.6,49,0
2026-03-23T16:24:27.270479,warning,0.12660132060281587,0.9972,67.7,49,0
2026-03-23T16:24:27.410691,warning,0.13613556617579506,0.9972,68.1,49,0
2026-03-23T16:24:27.559283,warning,0.18061596566156324,0.9972,57.0,49,0
2026-03-23T16:24:27.705698,warning,0.16604048212959477,0.9972,61.2,49,0
2026-03-23T16:24:27.881187,warning,0.12464908303449015,0.9972,66.8,49,0
2026-03-23T16:24:28.033629,warning,0.12844123785164915,0.9972,66.3,49,0
2026-03-23T16:24:28.182823,warning,0.18360530523021173,0.9972,54.4,49,0
2026-03-23T16:24:28.351113,warning,0.17928240182896393,0.9972,55.7,49,0
2026-03-23T16:24:28.549832,warning,0.16381905455827298,0.9972,58.1,49,0
2026-03-23T16:24:28.723179,warning,0.18537688749610043,0.9972,53.4,49,0
2026-03-23T16:24:28.878948,warning,0.16657093251645647,0.9972,55.4,49,0
2026-03-23T16:24:29.037813,warning,0.17115234827299275,0.9972,54.1,49,0
2026-03-23T16:24:29.205080,warning,0.16616077253314343,0.9972,55.3,49,0
2026-03-23T16:24:29.368897,warning,0.16088438375959088,0.9972,57.0,49,0
2026-03-23T16:24:29.539904,warning,0.13052398107179258,0.9972,60.6,49,0
2026-03-23T16:24:29.698481,warning,0.17239671976304402,0.9972,51.0,49,0
2026-03-23T16:24:29.848874,warning,0.18220621524239433,0.9972,47.9,49,0
2026-03-23T16:24:30.017354,warning,0.17545006642157507,0.9972,50.1,49,0
2026-03-23T16:24:30.186752,warning,0.1662081816185799,0.9972,52.7,49,0
2026-03-23T16:24:30.356056,warning,0.13532485198299954,0.9972,58.3,49,0
2026-03-23T16:24:30.514721,warning,0.15822660543743577,0.9972,53.7,49,0
2026-03-23T16:24:30.685310,warning,0.17431423555750455,0.9973,49.6,49,0
2026-03-23T16:24:30.913759,warning,0.12675892431055524,0.9973,57.6,49,0
2026-03-23T16:24:31.086426,warning,0.16860756411726668,0.9973,49.7,49,0
2026-03-23T16:24:31.248317,warning,0.15033372369719333,0.9973,54.4,49,0
2026-03-23T16:24:31.426742,warning,0.1487171996281051,0.9973,55.7,49,0
2026-03-23T16:24:31.595299,warning,0.1922409069123832,0.9973,44.2,49,0
2026-03-23T16:24:31.753814,warning,0.1755633543248976,0.9973,48.1,49,0
2026-03-23T16:24:32.291982,warning,0.19573871663583786,0.9973,41.8,49,0
2026-03-23T16:24:32.465968,warning,0.19659704861359087,0.9973,42.4,49,0
2026-03-23T16:24:36.347278,warning,0.18979560389239594,0.9974,41.9,52,0
2026-03-23T16:24:40.065639,warning,0.19963475306694378,0.9975,43.4,56,0
2026-03-23T16:24:40.329732,warning,0.20459086434276785,0.9975,42.1,56,0
2026-03-23T16:24:40.452059,warning,0.2030072160672181,0.9975,43.6,56,0
2026-03-23T16:24:40.579190,warning,0.1683556386627077,0.9975,54.1,56,0
2026-03-23T16:24:40.845423,warning,0.18909804807488625,0.9975,47.6,56,0
2026-03-23T16:24:41.533049,warning,0.20707382634198607,0.9975,41.0,56,0
2026-03-23T16:24:44.851897,warning,0.20748214314083163,0.9976,45.6,58,0
2026-03-23T16:24:45.574862,warning,0.2521986165320045,0.9976,40.1,60,0
2026-03-23T16:24:45.773746,warning,0.2474326031193249,0.9976,41.2,60,0
2026-03-23T16:24:45.954887,warning,0.2525933923710958,0.9976,40.9,61,0
2026-03-23T16:24:46.100145,warning,0.24646863365749383,0.9976,40.0,61,0
2026-03-23T16:24:46.235251,warning,0.2341773591252622,0.9976,40.9,61,0
2026-03-23T16:24:46.374064,warning,0.2495197514418829,0.9976,42.4,61,0
2026-03-23T16:24:46.504455,warning,0.22974975852016105,0.9976,42.8,61,0
2026-03-23T16:24:46.631831,warning,0.23890895086733022,0.9976,41.9,61,0
2026-03-23T16:24:46.816410,warning,0.24411604828045713,0.9976,41.4,61,0
2026-03-23T16:24:46.971735,warning,0.2587460720345547,0.9976,42.4,62,0
2026-03-23T16:24:47.121140,warning,0.24733624066343016,0.9976,42.8,62,0
2026-03-23T16:24:47.290449,warning,0.24405949023432558,0.9976,42.9,62,0
2026-03-23T16:24:47.436092,warning,0.22383317718698204,0.9976,45.4,62,0
2026-03-23T16:24:47.605758,warning,0.2400962123666055,0.9976,43.3,62,0
2026-03-23T16:24:47.892344,warning,0.23781780955800447,0.9976,42.2,62,0
2026-03-23T16:24:48.123046,warning,0.207816102238768,0.9976,49.5,62,0
2026-03-23T16:24:48.326533,warning,0.2278969125388402,0.9976,43.9,62,0
2026-03-23T16:24:48.552077,warning,0.2714437190687976,0.9976,43.6,63,0
2026-03-23T16:24:48.764570,warning,0.26480051691057993,0.9976,43.5,63,0
2026-03-23T16:24:48.940696,warning,0.2639566632468622,0.9976,43.6,63,0
2026-03-23T16:24:49.096579,warning,0.28768120805506614,0.9976,44.1,63,0
2026-03-23T16:24:49.339144,warning,0.27975667816198374,0.9976,42.6,63,0
2026-03-23T16:24:49.524949,warning,0.2798530995294075,0.9977,42.8,63,0
2026-03-23T16:24:49.686181,warning,0.26286428525131367,0.9977,42.7,63,0
2026-03-23T16:24:49.852295,warning,0.27411696895344273,0.9977,42.7,63,0
2026-03-23T16:24:49.996325,warning,0.26677240729456164,0.9977,41.7,63,0
